"ASIN";"SKU";"Title";"Labels";"CostPeriodStartDate";"Cost";"DomesticShippingCost";"RestofworldShippingCost";"ShippingProfile";"Value_of_unsellable_returns";"VAT";"VAT_CATEGORY";"Hide";"Marketplace";"BatchQuantity"
"B0F7RHY417";"bible jar_05";"Bible Verse Jar for Dad, Bible Accessories, Prayer Jar for Dad, Christian Gifts For Women, Religious Gifts for Men, Christmas for Women, Birthday for Mom";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FTSC9KTG";"CROSSCAR_BLUEBUTTERFLY";"Cross for Car Mirror Hanging Christian Gifts for Men, Women - Scan Phone for Daily Bible Verse Car Rearview Decor Accessories, Rearview Mirror Faith Gift for Women, Butterfly Rose Design";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0F8N9Z248";"jar_positive candy";"Musemory Positive Candy, 30 Daily Affirmations for Women, Teens, Sweet Positive Affirmation, Cute Motivation Candy Jar, Inspirational Gifts for Teen Girls & Women, Relaxation Stress Relief Gifts";"#FBA";"";"1.5";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FDWR1DSY";"MAGNET_APPLE";"Musemory Personalized Apple Classroom Board, Personalized Teacher Gifts, Teacher Name Sign with Student Pencil Tags – Back to School Classroom Decor, Teacher Appreciation Gift";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FVNLYKYB";"250TH_ORNAMENT_250YEARSOFFREEDOM";"250 Years of Freedom Ornament 1776-2026, Patriotic Acrylic Hanging Ornament, America 250th Anniversary Decoration, American Flag, Christmas Tree Ornament, Rearview Mirror Car Charm Gift";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0F9PFJ2C9";"POSITIVEJAR_CLOUDSUN";"Musemory 60 Positive Sunshine Cards Jar, Sunshine Gifts, Affirmation Cards Sunshine For Women, Friendship Gift, Positive Decor, Key Chain Sunshine";"#FBA";"";"1.5";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FVM7MRB4";"ONM_ELEPHANT_MOON_01";"Elephant Ornament, Friendship Ornament with Story Card, Friendship Birthday Gifts for Women, Birthday Presents for Best Friends Sister, Sunflower Moon Elephant";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FR1BQVRY";"CR_IAMWITHYOU";"Cross for Car Mirror Hanging Christian Gifts for Men, Women, Scan Phone for Daily Bible Verse Car Rearview Decor Accessories, Cross for Mirror, Gifts for Christian Men";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0F8VB5FKB";"CARVISOR_MOM";"Musemory Mom Frame with Car Visor Clip, Picture acrylic Frame for Car, Mommy and Me Picture Frame, Best Mom Ever Gifts, Mothers day gifts for Mommy";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FBM8T1W3";"REWARDJAR_HEART";"Musemory Magnetic Reward Jar, Valentines for Kids Classroom, Classroom Reward Jar, Gifts for Kids Classroom, Classroom Management Tool, Back to School Gift for Kids";"#FBA";"";"3";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0FXGWJZL4";"POSITIVEJAR_BASEBALL";"Positive Baseball Affirmation Jar – 60 Motivational Messages for Players, Sports Lovers, Cute Baseball Gift for Kids, Teens, Athletes | Encouragement Jar, Gifts for Teen Boy";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0GFLT2SXJ";"VLT_LOVEJAR";"Musemory Love Affirmation Jar, Valentines Day Gift for Her or Him, 60 Heartfelt Love Notes, Romantic Gift for Wife, Husband, Girlfriend, Boyfriend, Valentines Day Gift";"#FBA";"";"2.5";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0F8N9HQHN";"bible jar_bread";"Our Daily Bread Bible Verse Jar, Bible Jar, Christian Gifts for Women, Inspirational Scriptures for Women, Daughters, Bible Accessories, Christian Gift for Young Men or Teen";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0GV37JSMG";"DESK-DECOR_TO-MOM_PINK";"To My Mom Gift from Daughter, Mothers day Gifts, Gift for Mom from Daughter, Mother Daughter Decor Sign, Mom Appreciation Gift, Decorations Best Mom Ever, Mothers day";"#FBA";"";"2";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0GRTJ6BCC";"BIBLEJAR_MOM2026";"Read Me When Bible Verse Jar, Bible Accessories, Prayer Jar, Graduation for Her, Christian Gift For Women, Teacher Gifts, Fathers Day Gift For Dad (Bible Jar for Mom)";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0GS5R4ZS6";"HANDPRINT_SIGN_MOM";"Best Mom Ever Wooden Sign, Mother Day Gift for Mom, Personalized Style Wooden Plaque Decor, Hands Down Love Mom Sign, Birthday Gift for Mom, Mom Home Office Desk Decor";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
"B0H2YZR36Q";"250TH_ORNAMENT_ONENATIONUNDERGOD";"One Nation Under God 250 Years of Freedom Ornament 1776-2026, Christian Patriotic Acrylic Hanging Ornament, America 250 Anniversary Decoration, Eagle Cross Liberty Bell, Christmas Tree Ornament Gift";"#FBA";"";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";"";""
